id,user_input,bot_response,category,is_crisis
03515,I feel ashamed of past mistakes.,"Your feelings are completely valid. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",guilt-shame,FALSE
01988,I don't like who I am lately.,I'm really sorry you're going through this. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,self-esteem,FALSE
02114,I can't stop thinking about my ex.,"Your feelings are completely valid. You don't have to handle everything alone. Can we identify a tiny, doable next step that aligns with your values?",breakup,FALSE
03968,I'm constantly anxious about my future.,"It's understandable to feel this way. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",anxiety,FALSE
03938,My mind keeps me awake at night.,"That sounds really hard to carry. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",sleep,FALSE
09175,I don't want to live anymore.,"I'm so sorry you're feeling this much pain. You are not alone, and your safety matters deeply. I’m not a substitute for professional help. If you’re in immediate danger, please contact your local emergency number right now. If you can, reach out to someone you trust nearby. You deserve support in this moment.",crisis,TRUE
05879,Money problems keep me up at night.,It's understandable to feel this way. It's okay to take this one step at a time. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,financial-stress,FALSE
06422,I don't know how to manage my stress levels.,"Thank you for sharing this with me. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",stress-management,FALSE
08959,Stress is affecting my mood and focus.,Thank you for sharing this with me. You don't have to handle everything alone. What is one personal strength you can lean on right now?,stress-management,FALSE
06103,Stress is affecting my mood and focus.,"That sounds really hard to carry. You're doing your best in a tough moment. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",stress-management,FALSE
09652,I'm thinking about hurting myself.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
06955,I want my life to feel meaningful.,"That sounds really hard to carry. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",purpose-meaning,FALSE
09322,I want to disappear and not wake up.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
08248,Deadlines at work make me panic.,Thank you for sharing this with me. You don't have to handle everything alone. Would delegating one small task or renegotiating a deadline be possible? What is one personal strength you can lean on right now?,work-stress,FALSE
01393,Grief feels like it will never end.,"I'm really sorry you're going through this. It's okay to take this one step at a time. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",grief,FALSE
05543,I can’t manage my time well.,Your feelings are completely valid. You don't have to handle everything alone. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,time-management,FALSE
03309,My relationship feels stuck and confusing.,"I'm really sorry you're going through this. You don't have to handle everything alone. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",relationships,FALSE
01294,I get nervous meeting new people.,"It's understandable to feel this way. You're doing your best in a tough moment. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",social-anxiety,FALSE
00979,Money problems keep me up at night.,Your feelings are completely valid. You don't have to handle everything alone. What is one personal strength you can lean on right now?,financial-stress,FALSE
06582,I panic when I have to talk to people.,I'm really sorry you're going through this. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,social-anxiety,FALSE
04758,I feel rage building up inside me.,"That sounds really hard to carry. It's okay to take this one step at a time. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",anger,FALSE
09946,I feel like I might do something to end it.,"I'm really concerned for your safety. You deserve care and immediate support. Please contact emergency services or a crisis hotline in your area right now. If possible, let someone nearby know how you’re feeling so they can be with you.",crisis,TRUE
04841,My mind is always racing.,"It's understandable to feel this way. You're doing your best in a tough moment. Try noticing your breath and the feeling of your feet on the floor for one minute. Could we reframe this setback as practice, not a verdict on your worth?",mindfulness,FALSE
08258,I can't seem to get started on anything.,"I'm really sorry you're going through this. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",procrastination,FALSE
07537,I avoid social events because I feel judged.,It's understandable to feel this way. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,social-anxiety,FALSE
09745,I'm thinking about hurting myself.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
01411,I feel like I always mess things up.,"Your feelings are completely valid. It's okay to take this one step at a time. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",self-esteem,FALSE
09082,I'm thinking about hurting myself.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
09574,I don't see any reason to continue.,"I'm really concerned for your safety. You deserve care and immediate support. Please contact emergency services or a crisis hotline in your area right now. If possible, let someone nearby know how you’re feeling so they can be with you.",crisis,TRUE
02545,My schedule is chaotic and I feel stressed.,"It's understandable to feel this way. Small steps still count and add up. Can we identify a tiny, doable next step that aligns with your values?",time-management,FALSE
07651,I want my life to feel meaningful.,"Thank you for sharing this with me. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",purpose-meaning,FALSE
02005,Every small ache makes me worry a lot.,Thank you for sharing this with me. Small steps still count and add up. What would being kind to yourself look like in the next hour?,health-anxiety,FALSE
04182,I keep fighting with my family.,Thank you for sharing this with me. Small steps still count and add up. What would being kind to yourself look like in the next hour?,family-conflict,FALSE
02943,How do I become more resilient?,"I'm really sorry you're going through this. Small steps still count and add up. Could we notice one small thing that went well recently, no matter how small?",resilience,FALSE
08073,I'm terrified something is wrong with my health.,"It's understandable to feel this way. Reaching out already shows strength. Can we identify a tiny, doable next step that aligns with your values?",health-anxiety,FALSE
05980,"I used to enjoy my work, but now I feel numb.","It's understandable to feel this way. Reaching out already shows strength. Could we notice one small thing that went well recently, no matter how small?",burnout,FALSE
04845,I want my life to feel meaningful.,"I'm really sorry you're going through this. You don't have to handle everything alone. Could we notice one small thing that went well recently, no matter how small?",purpose-meaning,FALSE
03409,I feel burnt out and empty.,Your feelings are completely valid. You're doing your best in a tough moment. What would being kind to yourself look like in the next hour?,burnout,FALSE
01318,I avoid mirrors because I feel ashamed.,It's understandable to feel this way. You don't have to handle everything alone. What is one personal strength you can lean on right now?,body-image,FALSE
09773,I want to disappear and not wake up.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
08049,I feel burnt out and empty.,I'm really sorry you're going through this. Reaching out already shows strength. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,burnout,FALSE
01046,I can't seem to get started on anything.,"That sounds really hard to carry. Small steps still count and add up. Could we reframe this setback as practice, not a verdict on your worth?",procrastination,FALSE
06206,I’ve been feeling isolated lately.,"Your feelings are completely valid. It's okay to take this one step at a time. Could we notice one small thing that went well recently, no matter how small?",loneliness,FALSE
03114,I can’t sleep well and feel tired all day.,"That sounds really hard to carry. It's okay to take this one step at a time. If you wake up at night, try slow breathing and a calm word or phrase to settle your mind. Could we reframe this setback as practice, not a verdict on your worth?",sleep,FALSE
07851,People take advantage of my kindness.,Thank you for sharing this with me. Reaching out already shows strength. You can practice a simple script: 'I can’t take that on right now.' Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,boundaries,FALSE
02994,Everything feels too much today.,"It's understandable to feel this way. Small steps still count and add up. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",overwhelm,FALSE
01987,I want my life to feel meaningful.,"Your feelings are completely valid. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",purpose-meaning,FALSE
04609,I can’t manage my time well.,"Thank you for sharing this with me. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",time-management,FALSE
05829,I'm scared I won't make ends meet.,"Thank you for sharing this with me. Small steps still count and add up. Could we reframe this setback as practice, not a verdict on your worth?",financial-stress,FALSE
05998,I feel like I'm failing at my job.,"Your feelings are completely valid. Reaching out already shows strength. Would delegating one small task or renegotiating a deadline be possible? Could we reframe this setback as practice, not a verdict on your worth?",work-stress,FALSE
01881,I keep putting off important tasks.,I'm really sorry you're going through this. You're doing your best in a tough moment. What would being kind to yourself look like in the next hour?,procrastination,FALSE
00388,Grief feels like it will never end.,It's understandable to feel this way. Small steps still count and add up. What is one personal strength you can lean on right now?,grief,FALSE
06367,My mind keeps me awake at night.,"Your feelings are completely valid. Small steps still count and add up. Could we reframe this setback as practice, not a verdict on your worth?",sleep,FALSE
04084,I want to live more in line with what matters.,"Your feelings are completely valid. Reaching out already shows strength. Could we notice one small thing that went well recently, no matter how small?",values,FALSE
01336,I'm overwhelmed and don't know where to start.,That sounds really hard to carry. You don't have to handle everything alone. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,overwhelm,FALSE
08419,I feel paralyzed by all my tasks.,"I'm really sorry you're going through this. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",overwhelm,FALSE
07794,I feel stuck and unmotivated.,"Your feelings are completely valid. It's okay to take this one step at a time. Can we identify a tiny, doable next step that aligns with your values?",motivation,FALSE
07759,I can't forgive myself for what happened.,"Your feelings are completely valid. Reaching out already shows strength. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",guilt-shame,FALSE
07354,I'm scared I won't make ends meet.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Could we notice one small thing that went well recently, no matter how small?",financial-stress,FALSE
08247,Everything feels too much today.,"I'm really sorry you're going through this. Small steps still count and add up. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",overwhelm,FALSE
08091,Setting boundaries makes me feel guilty.,"Thank you for sharing this with me. You're doing your best in a tough moment. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",boundaries,FALSE
06665,I turn to distractions that don't help.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",coping-skills,FALSE
03717,I feel insecure about my body.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",body-image,FALSE
06429,I feel disconnected from my core values.,"That sounds really hard to carry. It's okay to take this one step at a time. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",values,FALSE
08254,How can I appreciate small moments more?,Your feelings are completely valid. You're doing your best in a tough moment. What would being kind to yourself look like in the next hour?,gratitude,FALSE
08708,I feel tense and on edge most days.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",stress-management,FALSE
01036,Grief feels like it will never end.,"That sounds really hard to carry. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",grief,FALSE
05729,I want my life to feel meaningful.,I'm really sorry you're going through this. Reaching out already shows strength. What would being kind to yourself look like in the next hour?,purpose-meaning,FALSE
01614,I miss them so much it hurts.,Thank you for sharing this with me. Reaching out already shows strength. What is one personal strength you can lean on right now?,grief,FALSE
06183,I don't like who I am lately.,"That sounds really hard to carry. Small steps still count and add up. Could we reframe this setback as practice, not a verdict on your worth?",self-esteem,FALSE
06834,I'm overwhelmed and don't know where to start.,"Your feelings are completely valid. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",overwhelm,FALSE
01958,Grief feels like it will never end.,"Your feelings are completely valid. Reaching out already shows strength. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",grief,FALSE
06673,I can't forgive myself for what happened.,"Your feelings are completely valid. It's okay to take this one step at a time. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",guilt-shame,FALSE
08391,Grief feels like it will never end.,I'm really sorry you're going through this. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,grief,FALSE
02145,My thoughts race and I can't stop overthinking.,Your feelings are completely valid. You don't have to handle everything alone. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,anxiety,FALSE
03185,People take advantage of my kindness.,Your feelings are completely valid. It's okay to take this one step at a time. You can practice a simple script: 'I can’t take that on right now.' What would being kind to yourself look like in the next hour?,boundaries,FALSE
05092,I hate how I look.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",body-image,FALSE
01134,I don’t know what I truly value.,"Thank you for sharing this with me. You don't have to handle everything alone. Could we reframe this setback as practice, not a verdict on your worth?",purpose-meaning,FALSE
04271,I miss them so much it hurts.,"Your feelings are completely valid. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",grief,FALSE
00755,I panic when I have to talk to people.,That sounds really hard to carry. Reaching out already shows strength. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,social-anxiety,FALSE
08435,I want to build a gratitude habit.,It's understandable to feel this way. Small steps still count and add up. What is one personal strength you can lean on right now?,gratitude,FALSE
00413,I feel burnt out and empty.,"Thank you for sharing this with me. You don't have to handle everything alone. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",burnout,FALSE
08561,I keep fighting with my family.,Thank you for sharing this with me. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,family-conflict,FALSE
00719,I feel ashamed of past mistakes.,That sounds really hard to carry. You're doing your best in a tough moment. What is one personal strength you can lean on right now?,guilt-shame,FALSE
03630,I'm overwhelmed and don't know where to start.,It's understandable to feel this way. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,overwhelm,FALSE
04399,I can't stop thinking about my ex.,"Thank you for sharing this with me. It's okay to take this one step at a time. Could we notice one small thing that went well recently, no matter how small?",breakup,FALSE
08484,I don't like who I am lately.,It's understandable to feel this way. You're doing your best in a tough moment. What is one personal strength you can lean on right now?,self-esteem,FALSE
06439,I feel tense and on edge most days.,Your feelings are completely valid. You don't have to handle everything alone. What is one personal strength you can lean on right now?,stress-management,FALSE
00460,My relationship feels stuck and confusing.,"Your feelings are completely valid. You don't have to handle everything alone. Would scheduling a calm time to talk help you feel heard? Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",relationships,FALSE
05651,I feel like I can't keep up with studies.,"Thank you for sharing this with me. Small steps still count and add up. Could you ask a classmate or teacher for a small piece of support on the hardest topic? Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",academic-stress,FALSE
02775,I want to build a gratitude habit.,"Thank you for sharing this with me. You don't have to handle everything alone. Savoring a small pleasant moment—like tea or sunlight—can build positive emotion. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",gratitude,FALSE
09559,I want to disappear and not wake up.,"I'm really concerned for your safety. You deserve care and immediate support. Please contact emergency services or a crisis hotline in your area right now. If possible, let someone nearby know how you’re feeling so they can be with you.",crisis,TRUE
02870,I want to feel more positive day to day.,"Thank you for sharing this with me. Reaching out already shows strength. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",gratitude,FALSE
01331,I feel discouraged after failures.,"It's understandable to feel this way. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",resilience,FALSE
08125,I want to bounce back from setbacks better.,I'm really sorry you're going through this. You don't have to handle everything alone. What is one personal strength you can lean on right now?,resilience,FALSE
06515,Setting boundaries makes me feel guilty.,"It's understandable to feel this way. You don't have to handle everything alone. Could we reframe this setback as practice, not a verdict on your worth?",boundaries,FALSE
02195,I'm overwhelmed and don't know where to start.,"Your feelings are completely valid. It's okay to take this one step at a time. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",overwhelm,FALSE
00406,My mind keeps me awake at night.,"I'm really sorry you're going through this. It's okay to take this one step at a time. If you wake up at night, try slow breathing and a calm word or phrase to settle your mind. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",sleep,FALSE
08621,Guilt is eating me up.,Your feelings are completely valid. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,guilt-shame,FALSE
00869,I’m unsure if my actions match my values.,"Thank you for sharing this with me. Reaching out already shows strength. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",values,FALSE
09494,I feel like I might do something to end it.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
02264,My mind keeps me awake at night.,"Thank you for sharing this with me. Small steps still count and add up. If you wake up at night, try slow breathing and a calm word or phrase to settle your mind. Can we identify a tiny, doable next step that aligns with your values?",sleep,FALSE
01043,My breakup really broke me.,"Thank you for sharing this with me. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",breakup,FALSE
02454,I feel stuck and unmotivated.,I'm really sorry you're going through this. Small steps still count and add up. What is one personal strength you can lean on right now?,motivation,FALSE
09101,I want to disappear and not wake up.,"I'm really concerned for your safety. You deserve care and immediate support. Please contact emergency services or a crisis hotline in your area right now. If possible, let someone nearby know how you’re feeling so they can be with you.",crisis,TRUE
00327,I say yes when I want to say no.,"Thank you for sharing this with me. Small steps still count and add up. You can practice a simple script: 'I can’t take that on right now.' Could we notice one small thing that went well recently, no matter how small?",boundaries,FALSE
08983,I hate how I look.,"Thank you for sharing this with me. You're doing your best in a tough moment. Could we notice one small thing that went well recently, no matter how small?",body-image,FALSE
04119,Grief feels like it will never end.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",grief,FALSE
07923,I say yes when I want to say no.,"That sounds really hard to carry. Reaching out already shows strength. You can practice a simple script: 'I can’t take that on right now.' Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",boundaries,FALSE
09491,I don't see any reason to continue.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
01009,I'm terrified something is wrong with my health.,"It's understandable to feel this way. It's okay to take this one step at a time. Could we reframe this setback as practice, not a verdict on your worth?",health-anxiety,FALSE
06466,I want to bounce back from setbacks better.,"That sounds really hard to carry. Reaching out already shows strength. Could we reframe this setback as practice, not a verdict on your worth?",resilience,FALSE
01755,I’ve been feeling isolated lately.,"I'm really sorry you're going through this. Small steps still count and add up. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",loneliness,FALSE
01893,I feel overwhelmed by bills and debt.,Thank you for sharing this with me. You're doing your best in a tough moment. What would being kind to yourself look like in the next hour?,financial-stress,FALSE
01201,Exams are stressing me out.,"I'm really sorry you're going through this. You're doing your best in a tough moment. A simple study rhythm—25 minutes focus, 5 minutes rest—can reduce pressure. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",academic-stress,FALSE
04091,I feel like I'm not good enough.,That sounds really hard to carry. You don't have to handle everything alone. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,self-worth,FALSE
01130,I feel rage building up inside me.,Your feelings are completely valid. Reaching out already shows strength. What is one personal strength you can lean on right now?,anger,FALSE
06770,I keep putting off important tasks.,"It's understandable to feel this way. You're doing your best in a tough moment. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",procrastination,FALSE
03026,I'm constantly anxious about my future.,That sounds really hard to carry. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,anxiety,FALSE
07065,I don't like who I am lately.,"Your feelings are completely valid. You're doing your best in a tough moment. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",self-esteem,FALSE
08988,I can't stop thinking about my ex.,It's understandable to feel this way. You're doing your best in a tough moment. What is one personal strength you can lean on right now?,breakup,FALSE
07391,I feel discouraged after failures.,"It's understandable to feel this way. You don't have to handle everything alone. Could we reframe this setback as practice, not a verdict on your worth?",resilience,FALSE
05714,I recently lost someone I love.,"I'm really sorry you're going through this. Reaching out already shows strength. Could we reframe this setback as practice, not a verdict on your worth?",grief,FALSE
04772,I feel rage building up inside me.,"That sounds really hard to carry. You don't have to handle everything alone. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",anger,FALSE
03332,I need healthier ways to cope with stress.,Your feelings are completely valid. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,coping-skills,FALSE
00099,I feel disconnected from my core values.,"Thank you for sharing this with me. It's okay to take this one step at a time. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",values,FALSE
03457,Guilt is eating me up.,"Your feelings are completely valid. Reaching out already shows strength. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",guilt-shame,FALSE
01962,Deadlines at work make me panic.,"Your feelings are completely valid. Small steps still count and add up. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",work-stress,FALSE
07434,I get angry too quickly and regret it.,Your feelings are completely valid. Reaching out already shows strength. What would being kind to yourself look like in the next hour?,anger,FALSE
08540,I don’t feel understood at home.,"Your feelings are completely valid. You don't have to handle everything alone. Can we identify a tiny, doable next step that aligns with your values?",family-conflict,FALSE
07465,I'm terrified something is wrong with my health.,I'm really sorry you're going through this. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,health-anxiety,FALSE
01214,How do I become more resilient?,"Thank you for sharing this with me. You're doing your best in a tough moment. Can we identify a tiny, doable next step that aligns with your values?",resilience,FALSE
06424,I’ve been feeling isolated lately.,"Your feelings are completely valid. You don't have to handle everything alone. Could we notice one small thing that went well recently, no matter how small?",loneliness,FALSE
07209,I'm overwhelmed and don't know where to start.,"Thank you for sharing this with me. Small steps still count and add up. Could we notice one small thing that went well recently, no matter how small?",overwhelm,FALSE
01547,I run out of time for important things.,Thank you for sharing this with me. You're doing your best in a tough moment. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,time-management,FALSE
08234,I procrastinate and then feel guilty.,"Your feelings are completely valid. Reaching out already shows strength. Can we identify a tiny, doable next step that aligns with your values?",procrastination,FALSE
04350,I feel tense and on edge most days.,"It's understandable to feel this way. You don't have to handle everything alone. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",stress-management,FALSE
04502,I procrastinate and then feel guilty.,"That sounds really hard to carry. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",procrastination,FALSE
06346,My breakup really broke me.,"Your feelings are completely valid. It's okay to take this one step at a time. Can we identify a tiny, doable next step that aligns with your values?",breakup,FALSE
07482,I avoid mirrors because I feel ashamed.,Thank you for sharing this with me. Small steps still count and add up. What would being kind to yourself look like in the next hour?,body-image,FALSE
07160,Guilt is eating me up.,"That sounds really hard to carry. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",guilt-shame,FALSE
06419,I feel like I have no one to talk to.,"It's understandable to feel this way. It's okay to take this one step at a time. Can we identify a tiny, doable next step that aligns with your values?",loneliness,FALSE
08746,I struggle to believe in myself.,"It's understandable to feel this way. Small steps still count and add up. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",self-esteem,FALSE
09810,I feel like I might do something to end it.,"Thank you for telling me—sharing this takes courage. Your life is important. I’m not equipped for emergencies. If you might act on these thoughts, please call your local emergency number or a crisis helpline immediately. If you can, consider contacting a trusted person to be with you right now.",crisis,TRUE
02962,I feel worried all the time and can't calm down.,"I'm really sorry you're going through this. You're doing your best in a tough moment. Could we reframe this setback as practice, not a verdict on your worth?",anxiety,FALSE
01344,I don't know how to manage my stress levels.,It's understandable to feel this way. Reaching out already shows strength. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,stress-management,FALSE
05535,I miss them so much it hurts.,"Thank you for sharing this with me. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",grief,FALSE
04747,I want to feel more positive day to day.,"Thank you for sharing this with me. You don't have to handle everything alone. Savoring a small pleasant moment—like tea or sunlight—can build positive emotion. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",gratitude,FALSE
06952,Money problems keep me up at night.,"Thank you for sharing this with me. It's okay to take this one step at a time. Can we identify a tiny, doable next step that aligns with your values?",financial-stress,FALSE
06883,I say yes when I want to say no.,Your feelings are completely valid. You don't have to handle everything alone. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,boundaries,FALSE
05025,I hate how I look.,"Your feelings are completely valid. Small steps still count and add up. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",body-image,FALSE
04174,My mind keeps me awake at night.,"That sounds really hard to carry. It's okay to take this one step at a time. If you wake up at night, try slow breathing and a calm word or phrase to settle your mind. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?",sleep,FALSE
04571,I'm afraid to start because it won't be perfect.,I'm really sorry you're going through this. You're doing your best in a tough moment. What is one personal strength you can lean on right now?,perfectionism,FALSE
03738,I wake up anxious and unrested.,Thank you for sharing this with me. It's okay to take this one step at a time. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,sleep,FALSE
05507,"I used to enjoy my work, but now I feel numb.",I'm really sorry you're going through this. You don't have to handle everything alone. What is one personal strength you can lean on right now?,burnout,FALSE
08558,I can't stop thinking about my ex.,"It's understandable to feel this way. Reaching out already shows strength. Is there a short activity that usually helps you feel calm—like a walk, music, or slow breathing?",breakup,FALSE
08656,I get nervous meeting new people.,"Your feelings are completely valid. Small steps still count and add up. Could we reframe this setback as practice, not a verdict on your worth?",social-anxiety,FALSE
